MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
False	conflation	10	0.5	0.94	0.54	0.94	0.8938995163064262	0.47664117049291777	0.8927341041200492	[0.9317269076305221, 0.8508474576271187, 1.0, 0.8554216867469879, 0.9314285714285714, 0.7156862745098039, 0.7799043062200957]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.963855421686747, 0.7864406779661017, 1.0, 0.8955823293172691, 0.8857142857142857, 0.7254901960784313, 0.7751196172248804]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	11	0.5	0.96	0.54	0.96	0.9261252083686106	0.47664117049291777	0.9304427106705161	[0.891566265060241, 0.8203389830508474, 1.0, 0.8554216867469879, 0.9714285714285714, 0.8235294117647058, 0.9234449760765551]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9317269076305221, 0.8203389830508474, 1.0, 0.8875502008032129, 0.9542857142857143, 0.8235294117647058, 0.9234449760765551]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	12	0.5	0.96	0.54	0.94	0.9181355773109678	0.47664117049291777	0.9111117389626984	[0.9598393574297188, 0.8813559322033898, 1.0, 0.9236947791164659, 0.9257142857142857, 0.6372549019607843, 0.937799043062201]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9598393574297188, 0.8745762711864407, 1.0, 0.927710843373494, 0.8857142857142857, 0.6568627450980392, 0.9330143540669856]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	13	0.5	0.98	0.54	0.98	0.9428070172714864	0.47664117049291777	0.9421680427560369	[0.9678714859437751, 0.9322033898305084, 1.0, 0.963855421686747, 0.9771428571428571, 0.7156862745098039, 0.9282296650717703]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.963855421686747, 0.9152542372881356, 1.0, 0.9678714859437751, 0.9771428571428571, 0.7352941176470589, 0.9234449760765551]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	14	0.5	0.96	0.54	0.98	0.9343397675980886	0.47664117049291777	0.9366916618107536	[0.9839357429718876, 0.9457627118644067, 1.0, 0.8192771084337349, 0.9828571428571429, 0.7352941176470589, 0.9282296650717703]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9879518072289156, 0.9355932203389831, 1.0, 0.8514056224899599, 0.9771428571428571, 0.7450980392156863, 0.9234449760765551]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	15	0.5	0.94	0.54	0.94	0.9271758036592037	0.47664117049291777	0.9256050563332296	[0.9919678714859438, 0.9661016949152542, 1.0, 0.714859437751004, 0.9828571428571429, 0.7549019607843137, 0.9330143540669856]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9919678714859438, 0.9559322033898305, 1.0, 0.7349397590361446, 0.9771428571428571, 0.7549019607843137, 0.9234449760765551]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 0.7142857142857143, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 0.7142857142857143, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	16	0.5	0.96	0.54	0.96	0.944232935341807	0.47664117049291777	0.9431703677740397	[0.9919678714859438, 0.9728813559322034, 1.0, 0.8875502008032129, 0.9885714285714285, 0.7647058823529411, 0.9234449760765551]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9919678714859438, 0.9627118644067797, 1.0, 0.8955823293172691, 0.9828571428571429, 0.7745098039215687, 0.9186602870813397]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	17	0.5	0.96	0.54	0.96	0.9308929301353832	0.47664117049291777	0.9367455205107786	[1.0, 0.9593220338983051, 1.0, 0.9718875502008032, 0.8342857142857143, 0.7549019607843137, 0.8133971291866029]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.9491525423728814, 1.0, 0.9839357429718876, 0.8457142857142858, 0.7647058823529411, 0.861244019138756]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	18	0.5	0.98	0.54	0.98	0.9652937173414036	0.47664117049291777	0.9614980326946596	[0.9959839357429718, 0.9728813559322034, 1.0, 0.9879518072289156, 0.9942857142857143, 0.7647058823529411, 0.9425837320574163]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9919678714859438, 0.9661016949152542, 1.0, 0.9879518072289156, 0.9828571428571429, 0.7745098039215687, 0.9473684210526315]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 1.0, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
False	conflation	19	0.5	0.94	0.54	0.96	0.9499803125377801	0.47664117049291777	0.9478287810631653	[1.0, 0.9728813559322034, 1.0, 0.8112449799196787, 1.0, 0.7843137254901961, 0.9521531100478469]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9919678714859438, 0.9661016949152542, 1.0, 0.8514056224899599, 0.9942857142857143, 0.7941176470588235, 0.9521531100478469]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 1.0, 1.0, 0.7142857142857143, 1.0, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 1.0, 1.0, 0.8571428571428571, 1.0, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
