MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
False	conflation	10	0.5	1.0	0.6	1.0	0.9548306595365419	0.5705065359477125	0.9457397504456327	[1.0, 1.0, 0.7857142857142857, 0.9565217391304348]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.75, 0.9565217391304348]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	11	0.5	1.0	0.6	1.0	0.967379679144385	0.5705065359477125	0.9582887700534759	[1.0, 1.0, 0.8214285714285714, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.7857142857142857, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	12	0.5	1.0	0.6	1.0	0.9823529411764707	0.5705065359477125	0.9732620320855615	[1.0, 1.0, 0.8928571428571429, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.8571428571428571, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	13	0.5	1.0	0.6	1.0	0.9941176470588236	0.5705065359477125	0.9850267379679145	[1.0, 1.0, 0.9642857142857143, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9285714285714286, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	14	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	15	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	16	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	17	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	18	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
False	conflation	19	0.5	1.0	0.6	1.0	1.0	0.5705065359477125	0.990909090909091	[1.0, 1.0, 1.0, 1.0]	[0.9019607843137255, 1.0, 0.0, 0.0]	[1.0, 1.0, 0.9642857142857143, 1.0]	[51, 24, 28, 23]	[1.0, 1.0, 1.0, 1.0]	[1.0, 1.0, 0.0, 0.0]	[1.0, 1.0, 1.0, 1.0]	[3, 3, 2, 2]
