MLNLAYER	COMBINED_TYPE	epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount	early_class_framewise_avg_acc_lstm	early_class_framewise_avg_acc_mln	early_class_framewise_avg_acc_lstm_mln	early_classcount
True	conflation	10	0.5	0.84	0.54	0.82	0.7817997297538575	0.47664117049291777	0.7744329428843386	[1.0, 0.45084745762711864, 1.0, 0.7991967871485943, 0.7142857142857143, 0.5392156862745098, 0.8851674641148325]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.4101694915254237, 1.0, 0.8032128514056225, 0.6971428571428572, 0.5490196078431373, 0.8899521531100478]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.2857142857142857, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.14285714285714285, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	11	0.5	0.9	0.54	0.9	0.8255809760853887	0.47664117049291777	0.8196081984687775	[1.0, 0.5966101694915255, 1.0, 0.8152610441767069, 0.76, 0.6176470588235294, 0.861244019138756]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.5694915254237288, 1.0, 0.8152610441767069, 0.76, 0.6176470588235294, 0.8564593301435407]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.7142857142857143, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.7142857142857143, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	12	0.5	0.9	0.54	0.9	0.8245052940947284	0.47664117049291777	0.8283390391254574	[0.9437751004016064, 0.6508474576271186, 1.0, 0.8152610441767069, 0.7714285714285715, 0.6470588235294118, 0.8373205741626795]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9558232931726908, 0.6372881355932203, 1.0, 0.8152610441767069, 0.7714285714285715, 0.6666666666666666, 0.8516746411483254]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.7142857142857143, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.7142857142857143, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	13	0.5	0.92	0.54	0.92	0.8354699695434326	0.47664117049291777	0.8372229788324914	[0.9397590361445783, 0.711864406779661, 1.0, 0.8152610441767069, 0.7657142857142857, 0.6568627450980392, 0.8421052631578947]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9437751004016064, 0.7084745762711865, 1.0, 0.8152610441767069, 0.7657142857142857, 0.6764705882352942, 0.8421052631578947]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	14	0.5	0.94	0.54	0.94	0.8613299594153331	0.47664117049291777	0.857727652961639	[0.9558232931726908, 0.7423728813559322, 1.0, 0.8152610441767069, 0.8057142857142857, 0.7058823529411765, 0.8755980861244019]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9598393574297188, 0.7322033898305085, 1.0, 0.8152610441767069, 0.8, 0.696078431372549, 0.8755980861244019]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	15	0.5	0.92	0.54	0.92	0.8733064837865123	0.47664117049291777	0.8727752190968567	[0.9839357429718876, 0.752542372881356, 1.0, 0.8192771084337349, 0.8228571428571428, 0.6862745098039216, 0.8947368421052632]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9839357429718876, 0.7457627118644068, 1.0, 0.8192771084337349, 0.8171428571428572, 0.6862745098039216, 0.9186602870813397]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	16	0.5	0.92	0.54	0.92	0.8896130790560428	0.47664117049291777	0.8852063941837477	[0.9959839357429718, 0.7627118644067796, 1.0, 0.8232931726907631, 0.8342857142857143, 0.7549019607843137, 0.9043062200956937]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[0.9959839357429718, 0.7593220338983051, 1.0, 0.8232931726907631, 0.8342857142857143, 0.7352941176470589, 0.8995215311004785]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	17	0.5	0.94	0.54	0.92	0.9063221751583397	0.47664117049291777	0.8968348552158997	[1.0, 0.7728813559322034, 1.0, 0.8353413654618473, 0.8342857142857143, 0.8333333333333334, 0.9282296650717703]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.7627118644067796, 1.0, 0.8313253012048193, 0.8342857142857143, 0.7941176470588235, 0.9138755980861244]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.7142857142857143, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	18	0.5	0.9	0.54	0.9	0.8715825573626206	0.47664117049291777	0.8675822098840124	[1.0, 0.7661016949152543, 1.0, 0.8393574297188755, 0.8114285714285714, 0.5980392156862745, 0.9330143540669856]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.7661016949152543, 1.0, 0.8353413654618473, 0.8057142857142857, 0.5882352941176471, 0.937799043062201]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.5714285714285714, 1.0]	[8, 7, 7, 7, 7, 7, 7]
True	conflation	19	0.5	0.94	0.54	0.94	0.8979506475295095	0.47664117049291777	0.8942077053472728	[1.0, 0.7694915254237288, 1.0, 0.8393574297188755, 0.8342857142857143, 0.7941176470588235, 0.8708133971291866]	[0.9879518072289156, 0.20677966101694914, 0.0, 0.7469879518072289, 0.6571428571428571, 0.4019607843137255, 0.3062200956937799]	[1.0, 0.7661016949152543, 1.0, 0.8393574297188755, 0.8342857142857143, 0.7843137254901961, 0.861244019138756]	[249, 295, 126, 249, 175, 102, 209]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[1.0, 0.0, 0.0, 1.0, 0.8571428571428571, 0.2857142857142857, 0.5714285714285714]	[1.0, 0.8571428571428571, 1.0, 1.0, 0.8571428571428571, 0.8571428571428571, 1.0]	[8, 7, 7, 7, 7, 7, 7]
