epoch	frac	early_avg_acc_lstm	early_avg_acc_mln	early_avg_acc_lstm_mln	final_framewise_avg_acc_lstm	final_framewise_avg_acc_mln	final_framewise_avg_acc_lstm_mln	class_framewise_avg_acc_lstm	class_framewise_avg_acc_mln	class_framewise_avg_acc_lstm_mln	classcount
False	conflation	0	0.5	0.6263736263736264	0.5384615384615384	0.8131868131868132	0.612454984209586	0.48557072381130295	0.7208612568005893	[0.26430517711171664, 0.9380281690140845, 0.7628865979381443, 0.08951965065502183, 0.9466019417475728, 0.3850129198966408, 0.8704402515723271]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.4645776566757493, 0.8591549295774648, 0.8824742268041237, 0.5971615720524017, 0.7928802588996764, 0.5839793281653747, 0.789937106918239]	[734, 1065, 485, 916, 618, 387, 795]
11	0.5	0.945054945054945	0.5384615384615384	0.9505494505494505	0.908941229080384	0.48557072381130295	0.9053452048255082	[0.9795640326975477, 0.8572769953051643, 0.9958762886597938, 0.9694323144104804, 0.889967637540453, 0.6770025839793282, 0.9446540880503145]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9795640326975477, 0.8535211267605634, 0.9958762886597938, 0.9694323144104804, 0.86084142394822, 0.6744186046511628, 0.9383647798742139]	[734, 1065, 485, 916, 618, 387, 795]
False	conflation	1	0.5	0.7472527472527473	0.5384615384615384	0.8241758241758241	0.6795203617811654	0.48557072381130295	0.7351059142843287	[0.6171662125340599, 0.8262910798122066, 0.8948453608247423, 0.28602620087336245, 0.8220064724919094, 0.3462532299741602, 0.9220125786163522]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.6811989100817438, 0.8272300469483568, 0.8845360824742268, 0.5862445414847162, 0.813915857605178, 0.36175710594315247, 0.9207547169811321]	[734, 1065, 485, 916, 618, 387, 795]
12	0.5	0.9560439560439561	0.5384615384615384	0.9615384615384616	0.9202547281386149	0.48557072381130295	0.9189773024723065	[0.9959128065395095, 0.863849765258216, 0.9958762886597938, 0.9508733624454149, 0.8932038834951457, 0.7803617571059431, 0.9257861635220126]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9959128065395095, 0.8619718309859155, 0.9958762886597938, 0.9585152838427947, 0.8802588996763754, 0.7777777777777778, 0.9232704402515723]	[734, 1065, 485, 916, 618, 387, 795]
13	0.5	0.967032967032967	0.5384615384615384	0.9725274725274725	0.9282294502098022	0.48557072381130295	0.924468688796882	[0.9782016348773842, 0.8582159624413146, 1.0, 0.9508733624454149, 0.9077669902912622, 0.8940568475452196, 0.9144654088050315]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9782016348773842, 0.8553990610328639, 1.0, 0.9563318777292577, 0.8786407766990292, 0.8914728682170543, 0.9144654088050315]	[734, 1065, 485, 916, 618, 387, 795]
14	0.5	0.9615384615384616	0.5384615384615384	0.9615384615384616	0.9382434305464383	0.48557072381130295	0.9353213602514828	[0.9604904632152589, 0.9042253521126761, 1.0, 0.9181222707423581, 0.9692556634304207, 0.9250645994832042, 0.9106918238993711]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9659400544959128, 0.8816901408450705, 1.0, 0.9279475982532751, 0.9627831715210357, 0.9276485788113695, 0.909433962264151]	[734, 1065, 485, 916, 618, 387, 795]
15	0.5	0.9560439560439561	0.5384615384615384	0.9615384615384616	0.9305227509619086	0.48557072381130295	0.9286935342965152	[0.9809264305177112, 0.9286384976525821, 0.9979381443298969, 0.9203056768558951, 0.843042071197411, 0.9043927648578811, 0.9408805031446541]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9822888283378747, 0.9192488262910798, 0.9979381443298969, 0.9290393013100436, 0.8317152103559871, 0.9018087855297158, 0.9408805031446541]	[734, 1065, 485, 916, 618, 387, 795]
16	0.5	0.989010989010989	0.5384615384615384	0.9945054945054945	0.9573907139357889	0.48557072381130295	0.9532625608438833	[0.9877384196185286, 0.9417840375586854, 0.9979381443298969, 0.9596069868995634, 0.9223300970873787, 0.9664082687338501, 0.9408805031446541]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9877384196185286, 0.9380281690140845, 0.9979381443298969, 0.9650655021834061, 0.8883495145631068, 0.9664082687338501, 0.9383647798742139]	[734, 1065, 485, 916, 618, 387, 795]
17	0.5	0.989010989010989	0.5384615384615384	0.9835164835164835	0.9632725457462834	0.48557072381130295	0.9580897340297112	[0.997275204359673, 0.939906103286385, 1.0, 0.9596069868995634, 0.9352750809061489, 0.9354005167958657, 0.969811320754717]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9959128065395095, 0.9314553990610329, 1.0, 0.9606986899563319, 0.9045307443365695, 0.9354005167958657, 0.9685534591194969]	[734, 1065, 485, 916, 618, 387, 795]
18	0.5	0.978021978021978	0.5384615384615384	0.9725274725274725	0.9610803929610526	0.48557072381130295	0.9575159442159593	[0.9986376021798365, 0.9305164319248826, 1.0, 0.9388646288209607, 0.9401294498381877, 0.9276485788113695, 0.9786163522012579]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.997275204359673, 0.9220657276995305, 1.0, 0.9410480349344978, 0.9239482200647249, 0.9276485788113695, 0.9773584905660377]	[734, 1065, 485, 916, 618, 387, 795]
19	0.5	0.978021978021978	0.5384615384615384	0.978021978021978	0.9532545781589918	0.48557072381130295	0.9534696603228534	[0.9373297002724795, 0.9389671361502347, 1.0, 0.9050218340611353, 0.9676375404530745, 0.9483204134366925, 0.9773584905660377]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.94141689373297, 0.9352112676056338, 1.0, 0.9082969432314411, 0.9660194174757282, 0.9483204134366925, 0.9761006289308176]	[734, 1065, 485, 916, 618, 387, 795]
20	0.5	0.989010989010989	0.5384615384615384	0.989010989010989	0.9700071325893715	0.48557072381130295	0.967363862466121	[0.9986376021798365, 0.9511737089201878, 1.0, 0.9617903930131004, 0.9692556634304207, 0.9095607235142119, 0.9761006289308176]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.997275204359673, 0.9474178403755869, 1.0, 0.9672489082969432, 0.9546925566343042, 0.8992248062015504, 0.9761006289308176]	[734, 1065, 485, 916, 618, 387, 795]
21	0.5	0.9945054945054945	0.5384615384615384	0.9945054945054945	0.9778214893179742	0.48557072381130295	0.9765133502278801	[0.997275204359673, 0.952112676056338, 1.0, 0.9868995633187773, 0.9724919093851133, 0.9457364341085271, 0.9710691823899371]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.997275204359673, 0.9474178403755869, 1.0, 0.9890829694323144, 0.9660194174757282, 0.9431524547803618, 0.9685534591194969]	[734, 1065, 485, 916, 618, 387, 795]
22	0.5	0.978021978021978	0.5384615384615384	0.978021978021978	0.9578986614091898	0.48557072381130295	0.9606086008120907	[0.997275204359673, 0.9446009389671362, 1.0, 0.8395196506550219, 0.9579288025889967, 0.9844961240310077, 0.9773584905660377]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.997275204359673, 0.9436619718309859, 1.0, 0.8558951965065502, 0.9579288025889967, 0.9844961240310077, 0.9761006289308176]	[734, 1065, 485, 916, 618, 387, 795]
23	0.5	0.9615384615384616	0.5384615384615384	0.9615384615384616	0.9557957492886675	0.48557072381130295	0.9558654483970623	[0.9986376021798365, 0.964319248826291, 1.0, 0.9104803493449781, 0.9336569579288025, 0.9534883720930233, 0.9660377358490566]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9986376021798365, 0.9586854460093897, 1.0, 0.9181222707423581, 0.9288025889967637, 0.9560723514211886, 0.9672955974842767]	[734, 1065, 485, 916, 618, 387, 795]
24	0.5	0.9835164835164835	0.5384615384615384	0.9835164835164835	0.9678111458787874	0.48557072381130295	0.9645440918556846	[1.0, 0.9849765258215962, 1.0, 0.9858078602620087, 0.9498381877022654, 0.8320413436692506, 0.9937106918238994]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9986376021798365, 0.9821596244131455, 1.0, 0.9868995633187773, 0.9385113268608414, 0.8268733850129198, 0.9924528301886792]	[734, 1065, 485, 916, 618, 387, 795]
25	0.5	0.989010989010989	0.5384615384615384	1.0	0.9801472321382194	0.48557072381130295	0.9792728304673586	[0.9945504087193461, 0.9868544600938968, 0.9917525773195877, 0.9879912663755459, 0.9838187702265372, 0.9457364341085271, 0.9710691823899371]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[0.9945504087193461, 0.9830985915492958, 0.9917525773195877, 0.9890829694323144, 0.9805825242718447, 0.9431524547803618, 0.9710691823899371]	[734, 1065, 485, 916, 618, 387, 795]
26	0.5	0.989010989010989	0.5384615384615384	0.989010989010989	0.9840222575777474	0.48557072381130295	0.9843427703982603	[1.0, 0.996244131455399, 1.0, 0.9814410480349345, 0.9951456310679612, 0.937984496124031, 0.969811320754717]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.996244131455399, 1.0, 0.982532751091703, 0.9951456310679612, 0.9354005167958657, 0.969811320754717]	[734, 1065, 485, 916, 618, 387, 795]
27	0.5	0.978021978021978	0.5384615384615384	0.978021978021978	0.9732512323333594	0.48557072381130295	0.9729574289145558	[1.0, 0.9981220657276996, 1.0, 0.9879912663755459, 0.9546925566343042, 0.8165374677002584, 0.9949685534591195]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9981220657276996, 1.0, 0.9879912663755459, 0.9514563106796117, 0.8191214470284238, 0.9949685534591195]	[734, 1065, 485, 916, 618, 387, 795]
28	0.5	1.0	0.5384615384615384	1.0	0.993853466798315	0.48557072381130295	0.9906474999934473	[1.0, 0.9990610328638497, 1.0, 0.9945414847161572, 0.9902912621359223, 0.9844961240310077, 0.9823899371069182]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9934497816593887, 0.9757281553398058, 0.9819121447028424, 0.9811320754716981]	[734, 1065, 485, 916, 618, 387, 795]
29	0.5	1.0	0.5384615384615384	1.0	0.9928571556162656	0.48557072381130295	0.993176578257117	[1.0, 0.9990610328638497, 1.0, 0.99235807860262, 0.9919093851132686, 0.9741602067183462, 0.9874213836477987]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9945414847161572, 0.9870550161812298, 0.9767441860465116, 0.9874213836477987]	[734, 1065, 485, 916, 618, 387, 795]
30	0.5	0.989010989010989	0.5384615384615384	0.989010989010989	0.9899984789891162	0.48557072381130295	0.9908226548132921	[1.0, 0.9990610328638497, 1.0, 0.9858078602620087, 0.9983818770226537, 0.9664082687338501, 0.9886792452830189]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9868995633187773, 0.9983818770226537, 0.9715762273901809, 0.9886792452830189]	[734, 1065, 485, 916, 618, 387, 795]
31	0.5	0.9945054945054945	0.5384615384615384	0.9945054945054945	0.9908700212399689	0.48557072381130295	0.9917068281112585	[1.0, 0.9990610328638497, 1.0, 0.9781659388646288, 0.9983818770226537, 0.9870801033591732, 0.989937106918239]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9814410480349345, 0.9983818770226537, 0.9870801033591732, 0.989937106918239]	[734, 1065, 485, 916, 618, 387, 795]
32	0.5	0.989010989010989	0.5384615384615384	0.9945054945054945	0.9919160732049294	0.48557072381130295	0.9927010025612873	[1.0, 0.9990610328638497, 1.0, 0.9890829694323144, 0.9967637540453075, 0.9612403100775194, 0.9962264150943396]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9912663755458515, 0.9951456310679612, 0.9612403100775194, 0.9962264150943396]	[734, 1065, 485, 916, 618, 387, 795]
33	0.5	0.989010989010989	0.5384615384615384	0.9945054945054945	0.9924204247431155	0.48557072381130295	0.992878300200991	[1.0, 0.9990610328638497, 1.0, 0.990174672489083, 0.9983818770226537, 0.958656330749354, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9912663755458515, 0.9983818770226537, 0.958656330749354, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
34	0.5	0.9945054945054945	0.5384615384615384	0.9945054945054945	0.9928756029910829	0.48557072381130295	0.9936297508040541	[1.0, 0.9990610328638497, 1.0, 0.9868995633187773, 1.0, 0.9974160206718347, 0.9849056603773585]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9890829694323144, 0.9983818770226537, 0.9974160206718347, 0.9849056603773585]	[734, 1065, 485, 916, 618, 387, 795]
35	0.5	0.9945054945054945	0.5384615384615384	0.9945054945054945	0.9954136260722302	0.48557072381130295	0.9955605562564739	[1.0, 0.9990610328638497, 1.0, 0.9934497816593887, 1.0, 0.9767441860465116, 0.9962264150943396]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9981220657276996, 1.0, 0.9934497816593887, 1.0, 0.979328165374677, 0.9962264150943396]	[734, 1065, 485, 916, 618, 387, 795]
36	0.5	1.0	0.5384615384615384	1.0	0.9993055674641717	0.48557072381130295	0.9993055674641717	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9962264150943396]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9962264150943396]	[734, 1065, 485, 916, 618, 387, 795]
37	0.5	1.0	0.5384615384615384	1.0	0.999450159714027	0.48557072381130295	0.999450159714027	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
38	0.5	1.0	0.5384615384615384	1.0	0.999450159714027	0.48557072381130295	0.999450159714027	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
39	0.5	1.0	0.5384615384615384	1.0	0.999450159714027	0.48557072381130295	0.999450159714027	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
40	0.5	1.0	0.5384615384615384	1.0	0.999450159714027	0.48557072381130295	0.9995286526496626	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
41	0.5	1.0	0.5384615384615384	1.0	0.999450159714027	0.48557072381130295	0.9995286526496626	[1.0, 0.9990610328638497, 1.0, 0.9978165938864629, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
42	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9995286526496626	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
43	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9995286526496626	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
44	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9996071455852985	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 1.0, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
45	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9996071455852985	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 1.0, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
46	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9996071455852985	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 1.0, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
47	0.5	1.0	0.5384615384615384	1.0	0.9995286526496626	0.48557072381130295	0.9996071455852985	[1.0, 0.9990610328638497, 1.0, 0.9989082969432315, 1.0, 1.0, 0.9974842767295597]	[0.9931880108991825, 0.26291079812206575, 0.0, 0.7925764192139738, 0.6682847896440129, 0.4444444444444444, 0.2339622641509434]	[1.0, 0.9990610328638497, 1.0, 1.0, 1.0, 1.0, 0.9974842767295597]	[734, 1065, 485, 916, 618, 387, 795]
